learner_name,task_id,test.subset,train.subsets,lr,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro
conv_CE_unweighted,FashionMNIST_seed1_prop0.001,balanced,other,0.1,0.946095327536265,0.00807912793207022,0.951312839984894,0.0128955375329318
conv_CE_unweighted,FashionMNIST_seed1_prop0.001,unbalanced,other,0.5,0.991261263688405,0.00201230500543713,0.989265918731689,0.002887526627826
conv_CE_unweighted,FashionMNIST_seed1_prop0.001,balanced,same,0.5,0.992022494475047,0.00103769348274942,0.988609572251638,0.00162578747309962
conv_CE_unweighted,FashionMNIST_seed1_prop0.001,unbalanced,same,0.1,0.992649177710215,0.000394049896456519,0.960331002871195,0.0240946953269275
conv_Macro_AUM,FashionMNIST_seed1_prop0.001,balanced,other,0.5,0.550388892491659,0.00700584013528165,0.910260498523712,0.0197070206442456
conv_Macro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,other,0.1,0.552640547355016,0.0564905402004774,0.930305361747742,0.0132955811387969
conv_Macro_AUM,FashionMNIST_seed1_prop0.001,balanced,same,0.5,0.546917657057444,0.00261896006361507,0.91045226653417,0.0133714567790327
conv_Macro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,same,0.1,0.537162144978841,0.0124821367222181,0.918015797932943,0.0277275932346039
conv_Micro_AUM,FashionMNIST_seed1_prop0.001,balanced,other,0.1,0.8506138920784,0.00665675311699289,0.898067037264506,0.0130397955594082
conv_Micro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,other,1,0.902524530887604,0.0126719332014604,0.965904851754506,0.00779821350720328
conv_Micro_AUM,FashionMNIST_seed1_prop0.001,balanced,same,1,0.935334026813507,0.00301616048347235,0.962812999884287,0.00569036826614489
conv_Micro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,same,0.5,0.920884390672048,0.0219152228478431,0.923432052135468,0.0129371235151254
conv_CE_weighted,FashionMNIST_seed1_prop0.001,balanced,other,0.1,0.966909766197205,0.000246553119930757,0.976560254891714,0.00264199550665837
conv_CE_weighted,FashionMNIST_seed1_prop0.001,unbalanced,other,0.5,0.992138902346293,0.000334614022252961,0.990725020567576,0.000730527789285335
conv_CE_weighted,FashionMNIST_seed1_prop0.001,balanced,same,0.5,0.991103847821554,0.00217209397133546,0.98731921116511,0.00287329080160239
conv_CE_weighted,FashionMNIST_seed1_prop0.001,unbalanced,same,0.1,0.992313941319784,0.000770698561059618,0.989084204037984,0.000978247733548397
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,balanced,other,0.5,0.981023371219635,0.00184914475554803,0.982268373171488,0.00228549648332117
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,unbalanced,other,0.5,0.992207964261373,0.000466258728465267,0.988745212554932,0.000797597671579154
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.990314026673635,0.000467703091143027,0.98594073454539,0.000747929393521723
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.992695430914561,0.000167010176064409,0.983077545960744,0.00450009263879617
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,balanced,other,0.5,0.547156314055125,0.00421082870393071,0.920689801375071,0.00108998933610845
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,other,1,0.520848174889883,0.010143169288052,0.924122333526611,0.0165915351093854
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,balanced,same,0.5,0.546931167443593,0.00299497902430424,0.918096343676249,0.0212213440630549
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.545741597811381,0.0497466773018174,0.917547444502513,0.0110663755579635
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,balanced,other,0.5,0.877513984839121,0.0127085612941408,0.93853356440862,0.00840594244336423
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,other,1,0.929526587327321,0.0120063466121738,0.963130036989848,0.0024795479974535
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,balanced,same,1,0.938856581846873,0.0125550957229156,0.957124054431915,0.00553367896800025
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,same,0.5,0.950979828834534,0.00376220172994408,0.947050094604492,0.00897366042229061
conv_CE_weighted,FashionMNIST_seed2_prop0.01,balanced,other,0.1,0.978992760181427,0.000399460675207716,0.98055628935496,0.00137439503031524
conv_CE_weighted,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.990794897079468,0.000739991578468136,0.987032453219096,0.00117120631954159
conv_CE_weighted,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.990053276220957,0.00060751047079402,0.985348780949911,0.000693692656639402
conv_CE_weighted,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.992445170879364,0.000435468120461056,0.984397530555725,0.00116320297454983
conv_CE_unweighted,FashionMNIST_seed1_prop0.1,balanced,other,0.1,0.986714243888855,0.000569607442874341,0.982894003391266,0.000632586240382894
conv_CE_unweighted,FashionMNIST_seed1_prop0.1,unbalanced,other,0.5,0.992436627546946,0.00118712474827603,0.98939178387324,0.000961426564368555
conv_CE_unweighted,FashionMNIST_seed1_prop0.1,balanced,same,0.5,0.990508596102397,0.00138908568424674,0.987059056758881,0.000985850440565103
conv_CE_unweighted,FashionMNIST_seed1_prop0.1,unbalanced,same,0.1,0.991620182991028,0.000626357879082255,0.986768186092377,0.00121147147108553
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,balanced,other,1,0.558128833770752,0.00736325897739891,0.920305112997691,0.0181125122443516
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,other,0.1,0.549845993518829,0.0419569331460689,0.883148570855459,0.0720759592745189
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,balanced,same,0.1,0.556586901346842,0.00306729538408895,0.905324955781301,0.0251843008841335
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,same,0.5,0.54281359910965,0.0329564255707561,0.925940295060476,0.0116267706708615
conv_Micro_AUM,FashionMNIST_seed1_prop0.1,balanced,other,0.5,0.910207450389862,0.0137203802272724,0.947543462117513,0.012109544099669
conv_Micro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,other,0.5,0.917542854944865,0.0255246456056904,0.959912916024526,0.0110236083664727
conv_Micro_AUM,FashionMNIST_seed1_prop0.1,balanced,same,1,0.927382369836172,0.0176916360657676,0.96211310227712,0.0116738270366089
conv_Micro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,same,1,0.930450598398844,0.0109176966794537,0.952960153420766,0.00376251997909052
