learner_name,task_id,test.subset,train.subsets,lr,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,balanced,other,0.1,0.966277003288269,0.000626671602120493,0.968096037705739,0.0011089572745137
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.995001912117004,0.000236452362053631,0.993497649828593,0.000431520447588797
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,balanced,same,0.3,0.992902517318726,0.000328480970229982,0.989791929721832,0.00052978729738095
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,unbalanced,same,0.3,0.996777911980947,0.000447820486996687,0.98825740814209,0.000538963856323482
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,balanced,other,0.1,0.549824019273122,0.0114163854314832,0.921692788600922,0.00279538961087823
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,other,1,0.530127127965291,0.0481289708796202,0.791213134924571,0.237042594561235
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.563299039999644,0.0110376877832394,0.911085665225983,0.0104870216042205
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.592318157354991,0.0424056431779285,0.911210556825002,0.0165806108014218
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,balanced,other,1,0.897460222244263,0.0302275693223554,0.905036648114522,0.0337382441265356
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,other,0.3,0.944695949554443,0.0309481542968609,0.962885816891988,0.0130590873865022
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,balanced,same,1,0.933409611384074,0.00913201203068807,0.95717054605484,0.00728099688696193
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,same,0.3,0.964211344718933,0.0163548876749614,0.934997936089834,0.0165611934974867
conv_CE_weighted,FashionMNIST_seed2_prop0.01,balanced,other,0.1,0.955642779668172,0.00195015396433411,0.975590785344442,0.00104863923335837
conv_CE_weighted,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.995616734027863,0.000409404737094058,0.993393301963806,0.000938644763704443
conv_CE_weighted,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.992681264877319,0.000299981857495573,0.989577730496725,0.000536465784481676
conv_CE_weighted,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.994612693786621,0.00306785215052053,0.987341940402985,0.000963874462073635
conv_CE_unweighted,FashionMNIST_seed3_prop0.01,balanced,other,0.3,0.955824395020803,0.00795058337993737,0.953459541002909,0.0108215640098539
conv_CE_unweighted,FashionMNIST_seed3_prop0.01,unbalanced,other,0.3,0.995654543240865,0.000571458726952412,0.994378685951233,0.00102136522185022
conv_CE_unweighted,FashionMNIST_seed3_prop0.01,balanced,same,0.1,0.992842336495717,0.000510170052212024,0.9895827571551,0.000658329360268571
conv_CE_unweighted,FashionMNIST_seed3_prop0.01,unbalanced,same,0.3,0.99828690290451,0.000246267025710981,0.986868758996328,0.0044846086964435
conv_Macro_AUM,FashionMNIST_seed3_prop0.01,balanced,other,0.1,0.55426698923111,0.00698807381777815,0.919872919718424,0.00468383906654845
conv_Macro_AUM,FashionMNIST_seed3_prop0.01,unbalanced,other,0.1,0.536781867345174,0.0365149514224674,0.951861759026845,0.00228505686996462
