learner_name,task_id,test.subset,train.subsets,lr,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro
linear_CE_unweighted,FashionMNIST_seed2_prop0.01,balanced,other,0.1,0.95852400859197,0.00215136323357242,0.965303281943003,0.0012386557326536
linear_CE_unweighted,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.991260667641958,0.00169831900976961,0.988458156585693,0.00182398482190559
linear_CE_unweighted,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.988725105921427,0.000281197875255056,0.9841281970342,0.000480816066646775
linear_CE_unweighted,FashionMNIST_seed2_prop0.01,unbalanced,same,0.3,0.994209170341492,0.000793972550074879,0.983261366685232,0.00622302053124725
linear_Macro_AUM,FashionMNIST_seed2_prop0.01,balanced,other,1,0.809546311696371,0.0381874230567902,0.94123516480128,0.00218343473452767
linear_Macro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,other,0.3,0.671056826909383,0.0660198277491327,0.951352059841156,0.00447104023625821
linear_Macro_AUM,FashionMNIST_seed2_prop0.01,balanced,same,1,0.827673057715098,0.037055435964657,0.949356257915497,0.00525515583987844
linear_Macro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,same,1,0.826014339923859,0.0169107676365022,0.950922171274821,0.0139544974054207
linear_Micro_AUM,FashionMNIST_seed2_prop0.01,balanced,other,0.1,0.910084545612335,0.00393265867490015,0.931166450182597,0.00465582467821758
linear_Micro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.955520351727804,0.0119566337430564,0.954231182734171,0.002556660225268
linear_Micro_AUM,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.948368410269419,0.00515035306780142,0.939953545729319,0.00647777257400458
linear_Micro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.966368794441223,0.00291098536981085,0.941971818606059,0.00541540309378681
linear_CE_weighted,FashionMNIST_seed2_prop0.01,balanced,other,0.3,0.978548943996429,0.000416131597962315,0.974817434946696,0.000410741451376667
linear_CE_weighted,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.990958412488302,0.000623585241689868,0.988519509633382,0.00142766716228062
linear_CE_weighted,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.98853192726771,0.000573184701127831,0.984053730964661,0.000735058005324034
linear_CE_weighted,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.992530147234599,0.0017379936292063,0.98442288239797,0.00368436985220523
linear_CE_unweighted,FashionMNIST_seed3_prop0.01,balanced,other,0.1,0.952410360177358,0.00287827607096354,0.960767070452372,0.00353648016845881
linear_CE_unweighted,FashionMNIST_seed3_prop0.01,unbalanced,other,0.3,0.992811520894369,0.00155089701127156,0.990305821100871,0.0010648996217238
linear_CE_unweighted,FashionMNIST_seed3_prop0.01,balanced,same,0.1,0.988854030768077,0.000900667739828133,0.984437803427378,0.00114883269582739
linear_CE_unweighted,FashionMNIST_seed3_prop0.01,unbalanced,same,0.1,0.996413787206014,0.00021189522754282,0.983856519063314,0.00290623998586828
linear_Macro_AUM,FashionMNIST_seed3_prop0.01,balanced,other,0.3,0.660737931728363,0.0235678773436792,0.928755879402161,0.00365434499112895
linear_Macro_AUM,FashionMNIST_seed3_prop0.01,unbalanced,other,0.1,0.751599768797557,0.0214793114786621,0.96256693204244,0.00503035454235288
linear_Macro_AUM,FashionMNIST_seed3_prop0.01,balanced,same,0.3,0.722637255986532,0.0375966060762124,0.945838352044423,0.00184718184450532
linear_Macro_AUM,FashionMNIST_seed3_prop0.01,unbalanced,same,1,0.830631593863169,0.011422356350847,0.955610771973928,0.00086010833350692
linear_Micro_AUM,FashionMNIST_seed3_prop0.01,balanced,other,0.1,0.887366453806559,0.00258947792141376,0.919465601444244,0.00915190840309376
linear_Micro_AUM,FashionMNIST_seed3_prop0.01,unbalanced,other,0.1,0.967562158902486,0.00397223915177357,0.96381139755249,0.00783922298199247
linear_Micro_AUM,FashionMNIST_seed3_prop0.01,balanced,same,0.1,0.95172663529714,0.00324598655833681,0.944969952106476,0.00222550810332517
linear_Micro_AUM,FashionMNIST_seed3_prop0.01,unbalanced,same,0.1,0.979953726132711,0.00492349867041761,0.955687304337819,0.0105655214856491
linear_CE_weighted,FashionMNIST_seed3_prop0.01,balanced,other,0.1,0.977144400278727,0.00279665382096497,0.974692404270172,0.000895625056920747
linear_CE_weighted,FashionMNIST_seed3_prop0.01,unbalanced,other,0.3,0.992619931697845,0.00171016791211886,0.990468621253967,0.000828972279649608
linear_CE_weighted,FashionMNIST_seed3_prop0.01,balanced,same,0.1,0.988812903563182,0.00105008364532852,0.984543442726135,0.00122700628714019
linear_CE_weighted,FashionMNIST_seed3_prop0.01,unbalanced,same,0.1,0.991683661937714,0.00169653578063305,0.984311540921529,0.00339442064104045
linear_CE_unweighted,FashionMNIST_seed4_prop0.01,balanced,other,0.1,0.952762603759766,0.00188888449154864,0.952845454216003,0.00103659081378904
linear_CE_unweighted,FashionMNIST_seed4_prop0.01,unbalanced,other,0.1,0.99606066942215,0.000168954294045855,0.993071834246317,0.000803742519124595
linear_CE_unweighted,FashionMNIST_seed4_prop0.01,balanced,same,0.1,0.988938609759013,0.000446480428445596,0.984613180160522,0.000564910557470709
linear_CE_unweighted,FashionMNIST_seed4_prop0.01,unbalanced,same,0.1,0.99779079357783,0.000214032256706289,0.989910006523132,0.00542265211955253
