learner_name,task_id,test.subset,train.subsets,lr,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro
conv_CE_unweighted,FashionMNIST_seed1_prop0.001,balanced,other,0.5,0.88020783662796,0.046389820623795,0.917194048563639,0.0248901471153735
conv_CE_unweighted,FashionMNIST_seed1_prop0.001,unbalanced,other,0.1,0.995034674803416,0.000294970760831911,0.993787368138631,0.00595026242730109
conv_CE_unweighted,FashionMNIST_seed1_prop0.001,balanced,same,0.5,0.991826037565867,0.0011016080335985,0.988436996936798,0.00130136521459828
conv_CE_unweighted,FashionMNIST_seed1_prop0.001,unbalanced,same,0.5,0.998422801494598,0.000328298850194594,0.974360525608063,0.0165265242390695
conv_Macro_AUM,FashionMNIST_seed1_prop0.001,balanced,other,0.1,0.557589828968048,0.0160504617503891,0.890492975711823,0.0161826511321775
conv_Macro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,other,0.1,0.59602427482605,0.06952880796753,0.925035158793131,0.00724049578558996
conv_Macro_AUM,FashionMNIST_seed1_prop0.001,balanced,same,0.5,0.53768269220988,0.00219936806642344,0.836231052875519,0.0498257269665365
conv_Macro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,same,0.5,0.511725882689158,0.045151890050097,0.94092857837677,0.0130533123899415
conv_Micro_AUM,FashionMNIST_seed1_prop0.001,balanced,other,1,0.82331242163976,0.0146972094771852,0.880510807037354,0.0101295642812259
conv_Micro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,other,0.5,0.950565497080485,0.0282756514724005,0.966405848662058,0.00379114084339394
conv_Micro_AUM,FashionMNIST_seed1_prop0.001,balanced,same,0.5,0.920535544554392,0.0054232773551488,0.961397091547648,0.00661048509138445
conv_Micro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,same,1,0.983728766441345,0.00594964682858225,0.886732995510101,0.0660817806118707
conv_CE_weighted,FashionMNIST_seed1_prop0.001,balanced,other,0.1,0.888830701510111,0.00354556980804477,0.940998236338297,0.00813585572373435
conv_CE_weighted,FashionMNIST_seed1_prop0.001,unbalanced,other,0.1,0.995486080646515,0.00110744669212802,0.99196728070577,0.00818029809258405
conv_CE_weighted,FashionMNIST_seed1_prop0.001,balanced,same,0.1,0.990616222222646,0.00050658375887092,0.986255844434102,0.000422468305123394
conv_CE_weighted,FashionMNIST_seed1_prop0.001,unbalanced,same,0.1,0.989114542802175,0.00811759434708391,0.973458329836527,0.0135782492770547
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,balanced,other,0.5,0.940673847993215,0.00768022456707786,0.945435802141825,0.0037338004423133
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.995662093162537,0.00123652202223138,0.991880834102631,0.001719499568685
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.990113695462545,0.000633620319185739,0.98568453391393,0.00110457152218295
conv_CE_unweighted,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.998385429382324,4.98050933449849e-05,0.982133567333221,0.00168626542550637
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,balanced,other,1,0.551028152306875,0.00604692820140451,0.914192020893097,0.0116223732033109
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,other,1,0.587265859047572,0.139366165795855,0.901679237683614,0.0341762080914236
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,balanced,same,0.5,0.545797149340312,0.00532250691114285,0.907958428064982,0.0133813440578611
conv_Macro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,same,0.5,0.581173876921336,0.0787922821765552,0.934529741605123,0.00122909263884466
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,balanced,other,1,0.887341837088267,0.0470312498389688,0.91558442513148,0.0129796840660456
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,other,0.5,0.943942288557688,0.00495808503113192,0.967751224835714,0.00541228223712292
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,balanced,same,1,0.923332830270131,0.00702510414957123,0.961719195048014,0.00589476831325111
conv_Micro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,same,0.5,0.98343700170517,0.00571391441411729,0.925393561522166,0.0102932630866774
conv_CE_weighted,FashionMNIST_seed2_prop0.01,balanced,other,0.5,0.969033976395925,0.00315267730603449,0.970373392105103,0.0012419110674516
conv_CE_weighted,FashionMNIST_seed2_prop0.01,unbalanced,other,0.5,0.995395282904307,0.00109362877765875,0.992289125919342,0.000728768412790703
conv_CE_weighted,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.99020657936732,0.000306421573533537,0.985665539900462,0.000545332824723854
conv_CE_weighted,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.995496292908986,0.00279078696669908,0.985581815242767,0.00213704759210299
conv_CE_unweighted,FashionMNIST_seed1_prop0.1,balanced,other,0.5,0.980962296326955,0.00649767730706371,0.977235356966654,0.00480850462966474
conv_CE_unweighted,FashionMNIST_seed1_prop0.1,unbalanced,other,0.1,0.995229005813599,0.000882611435290492,0.992123703161875,0.00034896904571113
conv_CE_unweighted,FashionMNIST_seed1_prop0.1,balanced,same,0.1,0.990407069524129,0.000433523595569001,0.986026366551717,0.000241915217673726
conv_CE_unweighted,FashionMNIST_seed1_prop0.1,unbalanced,same,0.1,0.99626080195109,0.000436610338720875,0.988204916318258,0.00127803772057742
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,balanced,other,0.5,0.561732053756714,0.00197461205950205,0.925201634565989,0.0110251739983449
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,other,0.1,0.588690598805746,0.0297124487913745,0.906407395998637,0.0240747340704302
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,balanced,same,0.1,0.550040145715078,0.00473900263544457,0.890306611855825,0.0296900538450603
conv_Macro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,same,0.1,0.568742911020915,0.0638370458226528,0.925164779027303,0.0210686854950664
conv_Micro_AUM,FashionMNIST_seed1_prop0.1,balanced,other,1,0.930120686690013,0.0112277266693319,0.947213967641195,0.00497966795285137
conv_Micro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,other,0.5,0.936577339967092,0.0318990555603352,0.967918932437897,0.00924425585593248
