test.subset,train.subsets,learner_id,task_id,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro,lr,learner_name
balanced,other,lr0.1conv_CE_unweighted,MNIST_seed1_prop0.001,0.941883464654287,0.0161193056650297,0.965968231360118,0.0219084617116859,0.1,conv_CE_unweighted
unbalanced,other,lr0.1conv_CE_unweighted,MNIST_seed1_prop0.001,0.996902008851369,0.000408873232534789,0.996916691462199,0.000300028967602731,0.1,conv_CE_unweighted
balanced,same,lr0.1conv_CE_unweighted,MNIST_seed1_prop0.001,0.996895889441172,0.0004115042270092,0.996630171934764,0.000364820892283014,0.1,conv_CE_unweighted
unbalanced,same,lr0.1conv_CE_unweighted,MNIST_seed1_prop0.001,0.997221966584524,0.000400302745655472,0.96777089436849,0.0296520554266237,0.1,conv_CE_unweighted
balanced,other,lr0.1conv_Macro_AUM,MNIST_seed1_prop0.001,0.565289914608002,0.0257123916424105,0.904627541700999,0.0171932934756947,0.1,conv_Macro_AUM
unbalanced,other,lr0.1conv_Macro_AUM,MNIST_seed1_prop0.001,0.53534479935964,0.0412623691414512,0.894017120202383,0.0490503234465599,0.1,conv_Macro_AUM
balanced,same,lr0.1conv_Macro_AUM,MNIST_seed1_prop0.001,0.553746084372203,0.0202189990977846,0.909962713718414,0.0150850099244893,0.1,conv_Macro_AUM
unbalanced,same,lr0.1conv_Macro_AUM,MNIST_seed1_prop0.001,0.565984745820363,0.0165370892426561,0.910059134165446,0.0106022684602504,0.1,conv_Macro_AUM
balanced,other,lr0.1conv_Micro_AUM,MNIST_seed1_prop0.001,0.861459970474243,0.0211427714599241,0.907523055871328,0.0270725505630896,0.1,conv_Micro_AUM
unbalanced,other,lr0.1conv_Micro_AUM,MNIST_seed1_prop0.001,0.939442813396454,0.00803271729148631,0.944249868392944,0.00329669111974016,0.1,conv_Micro_AUM
balanced,same,lr0.1conv_Micro_AUM,MNIST_seed1_prop0.001,0.914639035860697,0.0297059439752115,0.927896718184153,0.0107103236921426,0.1,conv_Micro_AUM
unbalanced,same,lr0.1conv_Micro_AUM,MNIST_seed1_prop0.001,0.931353052457174,0.0143135978581379,0.885827938715617,0.039228267308752,0.1,conv_Micro_AUM
balanced,other,lr0.1conv_CE_weighted,MNIST_seed1_prop0.001,0.992183864116669,0.00273117218620371,0.995334227879842,0.000762385134223554,0.1,conv_CE_weighted
unbalanced,other,lr0.1conv_CE_weighted,MNIST_seed1_prop0.001,0.996007899443308,0.00114262632971305,0.99621170759201,0.00095854291529731,0.1,conv_CE_weighted
balanced,same,lr0.1conv_CE_weighted,MNIST_seed1_prop0.001,0.996681531270345,0.000475905022644567,0.996415734291077,0.000431780391188892,0.1,conv_CE_weighted
unbalanced,same,lr0.1conv_CE_weighted,MNIST_seed1_prop0.001,0.996196369330088,0.000400514439902776,0.995970884958903,0.000502776984053759,0.1,conv_CE_weighted
balanced,other,lr0.5conv_CE_unweighted,MNIST_seed1_prop0.001,0.969000160694122,0.0108752595329204,0.985773622989655,0.00853348483722973,0.5,conv_CE_unweighted
unbalanced,other,lr0.5conv_CE_unweighted,MNIST_seed1_prop0.001,0.798214852809906,0.216161479465534,0.882695396741231,0.103923813017682,0.5,conv_CE_unweighted
balanced,same,lr0.5conv_CE_unweighted,MNIST_seed1_prop0.001,0.678827424844106,0.276393718199181,0.736340264479319,0.227897920242335,0.5,conv_CE_unweighted
unbalanced,same,lr0.5conv_CE_unweighted,MNIST_seed1_prop0.001,0.84463107585907,0.23902331772606,0.798145612080892,0.250276081557833,0.5,conv_CE_unweighted
balanced,other,lr0.5conv_Macro_AUM,MNIST_seed1_prop0.001,0.538074473539988,0.0162947485669217,0.847657084465027,0.0966945040033902,0.5,conv_Macro_AUM
unbalanced,other,lr0.5conv_Macro_AUM,MNIST_seed1_prop0.001,0.568230847517649,0.0279032435281218,0.965421179930369,0.00385854119240499,0.5,conv_Macro_AUM
balanced,same,lr0.5conv_Macro_AUM,MNIST_seed1_prop0.001,0.553013622760773,0.00805627758247429,0.92879182100296,0.0205454809238547,0.5,conv_Macro_AUM
unbalanced,same,lr0.5conv_Macro_AUM,MNIST_seed1_prop0.001,0.5556960105896,0.0585427319851163,0.89862863222758,0.0587477608157947,0.5,conv_Macro_AUM
balanced,other,lr0.5conv_Micro_AUM,MNIST_seed1_prop0.001,0.863643785317739,0.0329462183066305,0.8951642314593,0.0086211905707881,0.5,conv_Micro_AUM
unbalanced,other,lr0.5conv_Micro_AUM,MNIST_seed1_prop0.001,0.929379800955454,0.016960588921123,0.970560769240061,0.0117824605930518,0.5,conv_Micro_AUM
balanced,same,lr0.5conv_Micro_AUM,MNIST_seed1_prop0.001,0.972975691159566,0.00525840330817834,0.976226985454559,0.00671606970124044,0.5,conv_Micro_AUM
unbalanced,same,lr0.5conv_Micro_AUM,MNIST_seed1_prop0.001,0.932378927866618,0.0388290084303857,0.926434258619944,0.031712924017817,0.5,conv_Micro_AUM
balanced,other,lr0.5conv_CE_weighted,MNIST_seed1_prop0.001,0.923800826072693,0.116004698481307,0.936907013257345,0.0993757772730802,0.5,conv_CE_weighted
unbalanced,other,lr0.5conv_CE_weighted,MNIST_seed1_prop0.001,0.748163104057312,0.224953047267365,0.748248666524887,0.245875202000468,0.5,conv_CE_weighted
balanced,same,lr0.5conv_CE_weighted,MNIST_seed1_prop0.001,0.777661899725596,0.238687598236753,0.800148049990336,0.260930790534825,0.5,conv_CE_weighted
unbalanced,same,lr0.5conv_CE_weighted,MNIST_seed1_prop0.001,0.947221914927165,0.0852528632366396,0.949213763078054,0.0613260012065885,0.5,conv_CE_weighted
balanced,other,lr1conv_CE_unweighted,MNIST_seed1_prop0.001,0.565984278917313,0.0874133287249846,0.6470165848732,0.135376575969034,1,conv_CE_unweighted
unbalanced,other,lr1conv_CE_unweighted,MNIST_seed1_prop0.001,0.739063262939453,0.0428250528598394,0.830642998218536,0.0340527093297651,1,conv_CE_unweighted
balanced,same,lr1conv_CE_unweighted,MNIST_seed1_prop0.001,0.588871399561564,0.119051846200311,0.677459081013998,0.179763161921954,1,conv_CE_unweighted
unbalanced,same,lr1conv_CE_unweighted,MNIST_seed1_prop0.001,0.716006775697072,0.0924560765554734,0.737238983313243,0.0510560081242649,1,conv_CE_unweighted
balanced,other,lr1conv_Macro_AUM,MNIST_seed1_prop0.001,0.560995578765869,0.00821077874804392,0.956520597139994,0.00365874843595131,1,conv_Macro_AUM
unbalanced,other,lr1conv_Macro_AUM,MNIST_seed1_prop0.001,0.563167591889699,0.0295882193499939,0.847882131735484,0.153852961619511,1,conv_Macro_AUM
balanced,same,lr1conv_Macro_AUM,MNIST_seed1_prop0.001,0.570378184318543,0.0232539231884112,0.953798492749532,0.0287582512122065,1,conv_Macro_AUM
unbalanced,same,lr1conv_Macro_AUM,MNIST_seed1_prop0.001,0.536266565322876,0.0189208217516617,0.944257001082102,0.0156158894789612,1,conv_Macro_AUM
balanced,other,lr1conv_Micro_AUM,MNIST_seed1_prop0.001,0.890384495258331,0.00662878259488855,0.933372914791107,0.0235248415334132,1,conv_Micro_AUM
unbalanced,other,lr1conv_Micro_AUM,MNIST_seed1_prop0.001,0.977619747320811,0.00548955338720918,0.98538996775945,0.00159770354423769,1,conv_Micro_AUM
balanced,same,lr1conv_Micro_AUM,MNIST_seed1_prop0.001,0.934776941935221,0.074208670072113,0.98246161142985,0.00411697615602102,1,conv_Micro_AUM
unbalanced,same,lr1conv_Micro_AUM,MNIST_seed1_prop0.001,0.98241647084554,0.00564498503377168,0.954881429672241,0.016262169544635,1,conv_Micro_AUM
balanced,other,lr1conv_CE_weighted,MNIST_seed1_prop0.001,0.667628784974416,0.151331672113226,0.727135638395945,0.195939053784176,1,conv_CE_weighted
unbalanced,other,lr1conv_CE_weighted,MNIST_seed1_prop0.001,0.648106276988983,0.0971270625317997,0.815623541673025,0.0483820529815539,1,conv_CE_weighted
balanced,same,lr1conv_CE_weighted,MNIST_seed1_prop0.001,0.62315845489502,0.150378835278727,0.70215121905009,0.14937512541677,1,conv_CE_weighted
unbalanced,same,lr1conv_CE_weighted,MNIST_seed1_prop0.001,0.663656065861384,0.165970326599701,0.739438970883687,0.200048713830378,1,conv_CE_weighted
balanced,other,lr0.1conv_CE_unweighted,MNIST_seed2_prop0.01,0.96936426560084,0.00632005162222704,0.990707039833069,0.00201452799772375,0.1,conv_CE_unweighted
unbalanced,other,lr0.1conv_CE_unweighted,MNIST_seed2_prop0.01,0.996284405390421,0.000734478436184166,0.996176242828369,0.000661190044744629,0.1,conv_CE_unweighted
balanced,same,lr0.1conv_CE_unweighted,MNIST_seed2_prop0.01,0.996731102466583,0.00050009778890829,0.996555626392365,0.000502282520363215,0.1,conv_CE_unweighted
unbalanced,same,lr0.1conv_CE_unweighted,MNIST_seed2_prop0.01,0.996752540270487,0.000420623032552767,0.990899046262105,0.00433465197380121,0.1,conv_CE_unweighted
balanced,other,lr0.1conv_Macro_AUM,MNIST_seed2_prop0.01,0.5621258020401,0.0199648510576655,0.911909560362498,0.0155441822807311,0.1,conv_Macro_AUM
unbalanced,other,lr0.1conv_Macro_AUM,MNIST_seed2_prop0.01,0.578384160995483,0.0364727686803317,0.926862915356954,0.0223056498697237,0.1,conv_Macro_AUM
balanced,same,lr0.1conv_Macro_AUM,MNIST_seed2_prop0.01,0.547012348969778,0.00605643552054185,0.896833121776581,0.0281296542587354,0.1,conv_Macro_AUM
unbalanced,same,lr0.1conv_Macro_AUM,MNIST_seed2_prop0.01,0.521782040596008,0.0277650954469642,0.888538559277852,0.0642868226333886,0.1,conv_Macro_AUM
balanced,other,lr0.1conv_Micro_AUM,MNIST_seed2_prop0.01,0.881543199221293,0.0269574945112752,0.91936453183492,0.0239382438294378,0.1,conv_Micro_AUM
unbalanced,other,lr0.1conv_Micro_AUM,MNIST_seed2_prop0.01,0.917973061402639,0.0144124853589336,0.929367005825043,0.00680297960426338,0.1,conv_Micro_AUM
balanced,same,lr0.1conv_Micro_AUM,MNIST_seed2_prop0.01,0.931928316752116,0.00499452583728008,0.930946230888367,0.000809416023323002,0.1,conv_Micro_AUM
