learner_name,task_id,test.subset,train.subsets,lr,mean_auc_micro,sd_auc_micro,mean_auc_macro,sd_auc_macro
linear_CE_unweighted,FashionMNIST_seed1_prop0.001,balanced,other,0.1,0.835240145524343,0.00456110760262317,0.862105190753937,0.00437437104931373
linear_CE_unweighted,FashionMNIST_seed1_prop0.001,unbalanced,other,0.1,0.993356108665466,0.001210848024206,0.983644485473633,0.00702863261285909
linear_CE_unweighted,FashionMNIST_seed1_prop0.001,balanced,same,0.1,0.988265136877696,0.000280952525522587,0.983881612618764,0.000396750751820816
linear_CE_unweighted,FashionMNIST_seed1_prop0.001,unbalanced,same,0.1,0.997537692387899,0.000156440158079606,0.868096768856049,0.0206795076612919
linear_Macro_AUM,FashionMNIST_seed1_prop0.001,balanced,other,0.1,0.681765834490458,0.00859209555436104,0.907359500726064,0.0102473413366083
linear_Macro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,other,0.1,0.693508187929789,0.0462039429668939,0.965014278888702,0.00671600801049116
linear_Macro_AUM,FashionMNIST_seed1_prop0.001,balanced,same,0.1,0.692526598771413,0.0108986920433305,0.936004042625427,0.00390998935345204
linear_Macro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,same,0.1,0.732003470261892,0.0979184887918542,0.928790171941121,0.0511995107838527
linear_Micro_AUM,FashionMNIST_seed1_prop0.001,balanced,other,0.1,0.771736840407054,0.00710250768952817,0.852914909521739,0.00707424396202428
linear_Micro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,other,0.1,0.968695163726807,0.00418038782484278,0.964263518651327,0.00535750732378547
linear_Micro_AUM,FashionMNIST_seed1_prop0.001,balanced,same,0.1,0.958313345909119,0.00187205506266042,0.953297873338064,0.00169747661337955
linear_Micro_AUM,FashionMNIST_seed1_prop0.001,unbalanced,same,0.1,0.976660172144572,0.00547950224633163,0.784176727135976,0.0160328923246656
linear_CE_weighted,FashionMNIST_seed1_prop0.001,balanced,other,0.1,0.934349675973256,0.012690268114122,0.934367477893829,0.00623894664473902
linear_CE_weighted,FashionMNIST_seed1_prop0.001,unbalanced,other,0.1,0.993933478991191,0.00149861314060385,0.98026180267334,0.00866027931111653
linear_CE_weighted,FashionMNIST_seed1_prop0.001,balanced,same,0.1,0.98843107620875,0.000558987664307537,0.984001795450846,0.000712073474859576
linear_CE_weighted,FashionMNIST_seed1_prop0.001,unbalanced,same,0.1,0.979954500993093,0.0186831271444554,0.939940392971039,0.0307289328611061
linear_CE_unweighted,FashionMNIST_seed2_prop0.01,balanced,other,0.1,0.93594229221344,0.00323916391692967,0.940199156602224,0.00434400229986261
linear_CE_unweighted,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.99371345837911,0.00216346310243085,0.990409870942434,0.00069207548356797
linear_CE_unweighted,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.98791233698527,0.000215113207035865,0.983408649762472,0.000158893432560371
linear_CE_unweighted,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.997020502885183,0.000287400545676057,0.971815129121145,0.00536568755132766
linear_Macro_AUM,FashionMNIST_seed2_prop0.01,balanced,other,0.1,0.686115602652232,0.0338567301594524,0.926754673322042,0.00213940389612341
linear_Macro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.699446221192678,0.0215308082793663,0.95126356681188,0.00676019439964777
linear_Macro_AUM,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.659047484397888,0.0379102303219438,0.936982393264771,0.00731478574984956
linear_Macro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.688754697640737,0.0770769829663104,0.940598487854004,0.0145977162869783
linear_Micro_AUM,FashionMNIST_seed2_prop0.01,balanced,other,0.1,0.901791055997213,0.0142888015945154,0.922885596752167,0.0109580755410459
linear_Micro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.964387754599253,0.0132465187326416,0.955827514330546,0.00392426445111936
linear_Micro_AUM,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.94761315981547,0.00705446979223283,0.944604078928629,0.00187909768204115
linear_Micro_AUM,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.985483984152476,0.00222069427661695,0.92427259683609,0.0164044188692496
linear_CE_weighted,FashionMNIST_seed2_prop0.01,balanced,other,0.1,0.974968055884043,0.00227980147833889,0.971706549326579,0.00129411786322517
linear_CE_weighted,FashionMNIST_seed2_prop0.01,unbalanced,other,0.1,0.992764492829641,0.000681712673052102,0.990810732046763,0.000748398616941515
linear_CE_weighted,FashionMNIST_seed2_prop0.01,balanced,same,0.1,0.987999637921651,0.000449684683096929,0.983542501926422,0.000314598752674423
linear_CE_weighted,FashionMNIST_seed2_prop0.01,unbalanced,same,0.1,0.992300470670064,0.00320265536267971,0.980931301911672,0.00207834986582719
linear_CE_unweighted,FashionMNIST_seed1_prop0.1,balanced,other,0.1,0.978623509407043,0.00061336166005134,0.976276993751526,0.000997499542250622
linear_CE_unweighted,FashionMNIST_seed1_prop0.1,unbalanced,other,0.1,0.992764830589294,0.000948550564206069,0.989482581615448,0.000839476394000952
linear_CE_unweighted,FashionMNIST_seed1_prop0.1,balanced,same,0.1,0.988279064496358,0.000456055350319584,0.983960747718811,0.000648035546390611
linear_CE_unweighted,FashionMNIST_seed1_prop0.1,unbalanced,same,0.1,0.995085775852203,0.000405603572736097,0.988226036230723,0.00124190249443232
linear_Macro_AUM,FashionMNIST_seed1_prop0.1,balanced,other,0.1,0.685528854529063,0.0293919044985665,0.937996407349904,0.0027471881003727
linear_Macro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,other,0.1,0.69578218460083,0.0854957618040535,0.95494004090627,0.0032672327839677
linear_Macro_AUM,FashionMNIST_seed1_prop0.1,balanced,same,0.1,0.679065227508545,0.0217925871850939,0.943386793136597,0.00330343613312503
linear_Macro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,same,0.1,0.690256476402283,0.107001665752723,0.952267130215963,0.00494372566094928
linear_Micro_AUM,FashionMNIST_seed1_prop0.1,balanced,other,0.1,0.946829080581665,0.00314181357142512,0.94583402077357,0.00154219150611279
linear_Micro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,other,0.1,0.958315908908844,0.0101660792509266,0.958897908528646,0.00471169594931002
linear_Micro_AUM,FashionMNIST_seed1_prop0.1,balanced,same,0.1,0.954240580399831,0.00338228143360348,0.951184908548991,0.00245367774994373
linear_Micro_AUM,FashionMNIST_seed1_prop0.1,unbalanced,same,0.1,0.973939855893453,0.00245750084734994,0.960365056991577,0.00615070200427875
linear_CE_weighted,FashionMNIST_seed1_prop0.1,balanced,other,0.1,0.985613604386648,0.000816663891991189,0.981025755405426,0.00106758764787334
linear_CE_weighted,FashionMNIST_seed1_prop0.1,unbalanced,other,0.1,0.993072231610616,0.00139514164775438,0.989349583784739,0.000929213117262031
linear_CE_weighted,FashionMNIST_seed1_prop0.1,balanced,same,0.1,0.988482216993968,0.000479222168128964,0.984065771102905,0.000722531690834797
linear_CE_weighted,FashionMNIST_seed1_prop0.1,unbalanced,same,0.1,0.992768386999766,0.0014622664076418,0.987981776396433,0.00142311232825062
